SCAMID,URL_ID
18,0
25,1
25,2
36,3
36,4
51,5
59,6
118,7
118,8
118,9
118,10
118,11
118,12
118,13
118,14
139,15
139,16
139,17
139,18
149,19
188,20
195,21
195,22
202,23
215,24
215,25
224,26
224,27
224,28
224,28
230,29
275,30
275,31
275,32
312,33
312,34
354,35
374,36
377,37
386,38
457,39
457,39
457,39
487,40
576,30
576,41
614,42
642,43
643,44
649,45
649,46
695,47
707,48
708,49
708,50
710,51
716,52
761,53
772,54
782,55
782,56
782,57
790,58
799,30
799,59
799,60
828,61
837,62
845,63
891,64
914,65
934,66
951,67
951,67
952,68
952,68
965,69
989,35
989,70
998,71
998,72
998,73
998,72
1001,74
1020,75
1047,76
1050,77
1056,30
1057,78
1057,79
1063,80
1089,81
1118,75
1135,82
1135,83
1135,84
1142,85
1187,86
1228,87
1243,30
1245,88
1245,89
1308,90
1308,90
1345,91
1345,92
1345,93
1358,94
1456,95
1458,96
1461,97
1479,98
1502,99
1502,100
1509,101
1537,80
1537,102
1539,103
1539,103
1600,104
1628,30
1640,105
1640,106
1660,107
1670,35
1670,108
1670,109
1747,30
1770,110
1770,110
1788,111
1810,112
1813,113
1855,30
1877,114
1885,115
1944,116
1992,30
1992,117
1992,117
1992,117
1992,117
1995,118
2003,119
2070,120
2070,121
2071,120
2071,121
2082,120
2082,121
2083,120
2083,121
2092,122
2096,123
2096,124
2101,125
2101,126
2110,127
2110,127
2163,128
2183,129
2183,130
2195,131
2206,132
2206,133
2209,35
2209,134
2223,135
2223,135
2223,135
2243,136
2252,137
2262,138
2262,138
2282,75
2293,139
2293,140
2295,141
2295,142
2310,143
2314,30
2314,144
2330,145
2330,146
2358,147
2364,148
2372,149
2374,150
2400,151
2405,152
2405,94
2405,153
2405,153
2428,154
2458,115
2458,155
2458,155
2458,155
2458,155
2463,156
2463,156
2472,157
2505,30
2505,30
2510,158
2510,159
2514,160
2514,161
2517,162
2517,163
2518,164
2539,165
2545,166
2581,167
2588,168
2589,169
2648,170
2666,171
2666,171
2737,172
2737,173
2737,174
