ID,DATE
310,2020-05-31
311,2020-05-30
312,2020-05-29
313,2020-05-28
314,2020-05-27
315,2020-05-26
316,2020-05-25
317,2020-05-24
318,2020-05-23
319,2020-05-22
320,2020-05-21
321,2020-05-20
322,2020-05-19
323,2020-05-18
324,2020-05-17
325,2020-05-16
326,2020-05-15
327,2020-05-14
328,2020-05-13
329,2020-05-12
330,2020-05-11
331,2020-05-10
332,2020-05-09
333,2020-05-08
334,2020-05-07
335,2020-05-06
336,2020-05-05
337,2020-05-04
338,2020-05-03
339,2020-05-02
340,2020-05-01
341,2020-04-30
342,2020-04-29
343,2020-04-28
344,2020-04-27
345,2020-04-26
346,2020-04-25
347,2020-04-24
348,2020-04-23
349,2020-04-22
350,2020-04-21
351,2020-04-20
352,2020-04-17
353,2020-04-16
354,2020-04-15
355,2020-04-14
356,2020-04-13
357,2020-04-12
358,2020-04-11
359,2020-04-10
360,2020-04-09
361,2020-04-08
362,2020-04-07
363,2020-04-06
364,2020-04-05
365,2020-04-04
366,2020-04-03
367,2020-04-02
368,2020-04-01
369,2020-03-31
370,2020-03-30
371,2020-03-28
372,2020-03-27
373,2020-03-26
374,2020-03-25
375,2020-03-24
376,2020-03-23
377,2020-03-22
378,2020-03-21
379,2020-03-20
380,2020-03-19
381,2020-03-18
382,2020-03-17
383,2020-03-16
384,2020-03-15
385,2020-03-14
386,2020-03-13
387,2020-03-12
388,2020-03-11
389,2020-03-10
390,2020-03-09
391,2020-03-08
392,2020-03-07
393,2020-03-06
394,2020-03-05
395,2020-03-04
396,2020-03-03
397,2020-03-02
398,2020-02-29
399,2020-02-28
400,2020-02-27
401,2020-02-26
402,2020-02-25
403,2020-02-24
404,2020-02-22
405,2020-02-21
406,2020-02-20
407,2020-02-19
408,2020-02-18
409,2020-02-17
410,2020-02-16
411,2020-02-15
412,2020-02-14
413,2020-02-13
414,2020-02-12
415,2020-02-11
416,2020-02-10
417,2020-02-09
418,2020-02-08
419,2020-02-07
420,2020-02-06
421,2020-02-05
422,2020-02-04
423,2020-02-03
424,2020-02-02
425,2020-02-01
426,2020-01-31
427,2020-01-30
428,2020-01-29
429,2020-01-28
430,2020-01-27
431,2020-01-26
432,2020-01-25
433,2020-01-24
434,2020-01-23
435,2020-01-22
436,2020-01-21
437,2020-01-20
438,2020-01-19
439,2020-01-18
440,2020-01-17
441,2020-01-16
442,2020-01-15
443,2020-01-14
444,2020-01-13
445,2020-01-12
446,2020-01-11
447,2020-01-10
448,2020-01-09
449,2020-01-08
450,2020-01-07
451,2020-01-06
452,2020-01-05
453,2020-01-04
454,2020-01-03
455,2020-01-02
456,2020-01-01
457,2019-12-31
458,2019-12-30
459,2019-12-29
460,2019-12-28
461,2019-12-27
462,2019-12-26
463,2019-12-25
464,2019-12-24
465,2019-12-23
466,2019-12-22
467,2019-12-21
468,2019-12-20
469,2019-12-19
470,2019-12-18
471,2019-12-17
472,2019-12-16
473,2019-12-15
474,2019-12-14
475,2019-12-13
476,2019-12-12
477,2019-12-11
478,2019-12-10
479,2019-12-09
480,2019-12-08
481,2019-12-07
482,2019-12-06
483,2019-12-05
484,2019-12-04
485,2019-12-03
486,2019-12-02
487,2019-12-01
488,2019-11-30
489,2019-11-29
490,2019-11-28
491,2019-11-27
492,2019-11-26
493,2019-11-25
494,2019-11-24
495,2019-11-23
496,2019-11-22
497,2019-11-21
498,2019-11-20
499,2019-11-19
500,2019-11-18
501,2019-11-17
502,2019-11-16
503,2019-11-15
504,2019-11-14
505,2019-11-13
506,2019-11-12
507,2019-11-11
508,2019-11-10
509,2019-11-09
510,2019-11-08
511,2019-11-07
512,2019-11-06
513,2019-11-05
514,2019-11-04
515,2019-11-03
516,2019-11-02
517,2019-11-01
518,2019-10-31
519,2019-10-30
520,2019-10-29
521,2019-10-28
522,2019-10-27
523,2019-10-26
524,2019-10-25
525,2019-10-24
526,2019-10-23
527,2019-10-22
528,2019-10-21
529,2019-10-20
530,2019-10-19
531,2019-10-18
532,2019-10-17
533,2019-10-16
534,2019-10-15
535,2019-10-14
536,2019-10-13
537,2019-10-12
538,2019-10-11
539,2019-10-10
540,2019-10-09
541,2019-10-08
542,2019-10-07
543,2019-10-06
544,2019-10-05
545,2019-10-04
546,2019-10-03
547,2019-10-02
548,2019-10-01
549,2019-09-30
550,2019-09-29
551,2019-09-28
552,2019-09-27
553,2019-09-26
554,2019-09-25
555,2019-09-24
556,2019-09-23
557,2019-09-22
558,2019-09-21
559,2019-09-20
560,2019-09-19
561,2019-09-18
562,2019-09-17
563,2019-09-16
564,2019-09-15
565,2019-09-14
566,2019-09-13
567,2019-09-12
568,2019-09-11
569,2019-09-10
570,2019-09-09
571,2019-09-07
572,2019-09-06
573,2019-09-05
574,2019-09-04
575,2019-09-03
576,2019-09-02
577,2019-09-01
578,2019-08-31
579,2019-08-30
580,2019-08-29
581,2019-08-28
582,2019-08-27
583,2019-08-26
584,2019-08-25
585,2019-08-24
586,2019-08-23
587,2019-08-22
588,2019-08-21
589,2019-08-20
590,2019-08-19
591,2019-08-18
