help,0.003611718732341662
office,0.00916287234763915
dance,0.0003308780133757594
money,0.014995303666906925
wedding,0.0017435450534050926
domestic_work,0.00600226529008019
sleep,0.0006385255020932586
medical_emergency,0.00046272693711183046
cold,0.00047026116132532027
hate,0.00030482215463744055
cheerfulness,0.00014095277799403791
aggression,0.00020122657170195614
occupation,0.012507753972419716
envy,3.861289909413511e-05
anticipation,9.920061881094873e-05
family,0.0022257354030684384
vacation,0.0014920903202798714
crime,0.0027066700486962024
attractive,0.0009229424661524977
masculine,0.00043855463442688414
prison,0.000942405878704013
health,0.0005569047397804527
pride,0.000135616035842816
dispute,0.0010792776185824106
nervousness,0.0005660085940384195
government,0.0017918896587749854
weakness,0.00011175765916676503
horror,7.565616814379318e-05
swearing_terms,0.0006250266837107561
leisure,0.0009477426208552349
suffering,0.00029163726226383345
royalty,0.00013875529593177006
wealthy,0.0027088675307584704
tourism,0.0007936049504875898
furniture,0.0011483413405394003
school,0.0033919705261148767
magic,0.00012462862553147674
beach,0.0003993138833149582
journalism,0.0030413151741787068
morning,0.0008573319302933576
banking,0.013690313247928717
social_media,0.010480419806973175
exercise,0.0011621540849307982
night,0.000279708073925808
kill,0.0002005987196841653
blue_collar_job,0.00474310806840071
art,0.0007053917419879804
ridicule,9.480565468641303e-05
play,0.0008651800805157427
computer,0.010147972163552938
college,0.003984976756918302
optimism,0.001286782710462275
stealing,0.002196854210250061
real_estate,0.0037068383130369705
home,0.00208823581117225
divine,0.0005989708249724373
sexual,0.0001613579685722394
fear,0.00026087251339208356
irritability,8.09929102950151e-05
superhero,0.0001817631591504409
business,0.021048111044419275
driving,0.0010227709369812373
pet,0.0001023398788999028
childish,0.0003823618788346062
cooking,0.0001651250806789843
exasperation,3.233437891622696e-05
religion,0.00035567816807849655
hipster,0.001084928286742528
internet,0.017140674011698137
surprise,0.00012619825557595377
reading,0.0034917989969436166
worship,5.7134533618964146e-05
leader,0.002768513472448598
independence,0.0005704035581629552
movement,0.0015771642686905267
body,0.0006683484729383223
noise,0.00042285833398211374
eating,0.00018678597529276739
medieval,1.8835560533724442e-05
zest,0.0004950613160280574
confusion,0.0007879542823274726
water,4.646104931652029e-05
sports,0.000911641129832263
death,0.0003823618788346062
healing,0.0006394672801199448
legend,0.00013749959189618844
heroic,0.0006375837240665724
celebration,0.0017664616520544573
restaurant,0.0012685750019463412
violence,0.0007578173854735134
programming,0.010238696780123712
dominant_heirarchical,0.0004759118294854376
military,0.0013640085086505452
neglect,7.157513002815288e-05
swimming,3.233437891622696e-05
exotic,6.7808017921408e-05
love,0.001042548275541648
hiking,0.0001619858205900302
communication,0.01793898785231916
hearing,0.002536522151874892
order,0.0028108934836494777
sympathy,0.0001914948654261985
hygiene,0.00032491341920674665
weather,0.00011426906723792829
anonymity,0.00028567266809482073
trust,0.001652192584816529
ancient,0.0002040519057820148
deception,0.0007722579818827021
fabric,0.0003826758048435016
air_travel,0.0009201171320724391
fight,0.0013781351790508383
dominant_personality,0.00012808181162932622
music,0.001397912517611249
vehicle,0.0011207158517566045
politeness,0.00033370334745581805
toy,0.0007710022778471205
farming,3.578756501407644e-05
meeting,0.010450282910119216
war,0.00019714553358631584
speaking,0.005984999359590942
listen,0.004005695873505398
urban,0.0005597300738605114
shopping,0.00403426314031488
disgust,5.273956949442844e-05
fire,6.121557173460445e-05
tool,0.0011335868181213161
phone,0.010285471755449128
gain,0.0025032459949319787
sound,0.0005788795604031313
injury,0.000627224165773024
sailing,0.0003591313541763461
rage,4.206608519198459e-05
science,0.001969571779809786
work,0.02047425430015847
appearance,0.000843833111910855
valuable,0.008191899202125656
warmth,0.00025208258514301216
youth,0.0003076474887174992
sadness,0.00022477102236911168
fun,0.00043259004025787137
emotional,0.0004278811501244403
joy,0.00011112980714897422
affection,0.0002464319169828948
traveling,0.00268155596798457
fashion,0.0003371565335536675
ugliness,3.5473639005181035e-05
lust,0.00039366321515484087
shame,0.0005399527353001007
torment,0.00012839573763822162
economics,0.010424854903398688
anger,4.426356725425244e-05
politics,0.00038769862098582815
ship,0.0010500824997551378
clothing,0.0003939771411637363
car,0.0008758535648181866
strength,0.0009581021791487833
technology,0.006498268384134933
breaking,0.00035002749991837925
shape_and_size,0.001280818116293262
power,0.00047245864338758814
white_collar_job,0.008185306755938853
animal,0.0006228292016484883
party,0.002156357755102553
terrorism,8.413217038396918e-05
smell,9.857276679315792e-05
disappointment,0.00042317225999100917
poor,0.004968193016778717
plant,0.00018521634524829036
pain,0.0007195184123882737
beauty,0.0002040519057820148
timidity,0.0002505129550985351
philosophy,0.00022414317035132088
negotiate,0.0008821320849960948
negative_emotion,0.0023701413671603257
cleaning,0.00021849250219120353
messaging,0.021758839528558477
competing,0.000840693851821901
law,0.001793145362810567
friends,0.001175966829322196
payment,0.013384863241273484
achievement,0.0014245962283673586
alcohol,6.969157397478045e-05
liquid,8.09929102950151e-05
feminine,0.0003346451254825043
weapon,0.00024894332505405806
children,0.0010959156970538671
monster,2.1974820622678517e-05
ocean,0.0003635263183008818
giving,0.016253205184550822
contentment,0.00041940514788426427
writing,0.007729172265013825
rural,0.0002385837667605096
positive_emotion,0.002143172862728946
musical,0.00064731543034233
